id,name,department,salary
196,Sara,Sales,60000
197,Tom,Finance,78000
198,Emma,Engineering,68500
199,David,Marketing,63000
200,Olivia,HR,55000
201,John,Engineering,70000
202,Alice,HR,58500
203,Bob,Marketing,61500
204,Jane,Engineering,72500
205,Mike,HR,55000
206,Sara,Sales,60500
207,Tom,Finance,78500
208,Emma,Engineering,69000
209,David,Marketing,63500
210,Olivia,HR,55500
211,John,Finance,79500
212,Alice,Sales,58000
213,Bob,Engineering,70000
214,Jane,Marketing,64000
215,Mike,HR,55500
216,Sara,Engineering,72000
217,Tom,Finance,79000
218,Emma,Sales,58500
219,David,HR,56000
220,Olivia,Marketing,63000
221,John,Engineering,70500
222,Alice,HR,59000
223,Bob,Marketing,62000
224,Jane,Engineering,73000
225,Mike,HR,56000
226,Sara,Sales,61000
227,Tom,Finance,79500
228,Emma,Engineering,69500
229,David,Marketing,64500
230,Olivia,HR,56500
231,John,Finance,80000
232,Alice,Sales,58500
233,Bob,Engineering,70500
234,Jane,Marketing,64500
235,Mike,HR,56500
236,Sara,Engineering,72500
237,Tom,Finance,80000
238,Emma,Sales,59000
239,David,HR,57000
240,Olivia,Marketing,63500
241,John,Engineering,71000
242,Alice,HR,59500
243,Bob,Marketing,62500
244,Jane,Engineering,73500
245,Mike,HR,57000
246,Sara,Sales,61500
247,Tom,Finance,80500
248,Emma,Engineering,70000
249,David,Marketing,65000
250,Olivia,HR,57500
251,John,Engineering,71500
252,Alice,HR,60000
253,Bob,Marketing,63000
254,Jane,Engineering,74000
255,Mike,HR,57500
256,Sara,Sales,62000
257,Tom,Finance,81000
258,Emma,Engineering,70500
259,David,Marketing,65500
260,Olivia,HR,58000
261,John,Finance,80500
262,Alice,Sales,60500
263,Bob,Engineering,71000
264,Jane,Marketing,65000
265,Mike,HR,58000
266,Sara,Engineering,73000
267,Tom,Finance,81500
268,Emma,Sales,61000
269,David,HR,58500
270,Olivia,Marketing,64000
271,John,Engineering,72000
272,Alice,HR,61000
273,Bob,Marketing,63500
274,Jane,Engineering,74500
275,Mike,HR,58500
276,Sara,Sales,62500
277,Tom,Finance,82000
278,Emma,Engineering,71500
279,David,Marketing,66000
280,Olivia,HR,59000
281,John,Finance,81000
282,Alice,Sales,61000
283,Bob,Engineering,72000
284,Jane,Marketing,65500
285,Mike,HR,59000
286,Sara,Engineering,73500
287,Tom,Finance,82500
288,Emma,Sales,61500
289,David,HR,59500
290,Olivia,Marketing,64500
291,John,Engineering,72500
292,Alice,HR,61500
293,Bob,Marketing,64000
294,Jane,Engineering,75000
295,Mike,HR,59500
296,Sara,Sales,63000
297,Tom,Finance,83000
298,Emma,Engineering,72000
299,David,Marketing,66500
300,Olivia,HR,60000
301,John,Engineering,73000
302,Alice,HR,62000
303,Bob,Marketing,64500
304,Jane,Engineering,75500
305,Mike,HR,60000
306,Sara,Sales,63500
307,Tom,Finance,83500
308,Emma,Engineering,72500
309,David,Marketing,67000
310,Olivia,HR,60500
311,John,Finance,81500
312,Alice,Sales,61500
313,Bob,Engineering,73000
314,Jane,Marketing,66000
315,Mike,HR,60500
316,Sara,Engineering,74000
317,Tom,Finance,84000
318,Emma,Sales,62000
319,David,HR,61000
320,Olivia,Marketing,65000
321,John,Engineering,73500
322,Alice,HR,62500
323,Bob,Marketing,65500
324,Jane,Engineering,76000
325,Mike,HR,61000
326,Sara,Sales,64000
327,Tom,Finance,84500
328,Emma,Engineering,73000
329,David,Marketing,67500
330,Olivia,HR,61500
331,John,Finance,82000
332,Alice,Sales,62000
333,Bob,Engineering,74000
334,Jane,Marketing,66500
335,Mike,HR,61500
336,Sara,Engineering,74500
337,Tom,Finance,85000
338,Emma,Sales,62500
339,David,HR,62000
340,Olivia,Marketing,65500
341,John,Engineering,74500
342,Alice,HR,63000
343,Bob,Marketing,67000
344,Jane,Engineering,76500
345,Mike,HR,62000
346,Sara,Sales,64500
347,Tom,Finance,85500
348,Emma,Engineering,73500
349,David,Marketing,68000
350,Olivia,HR,62000
351,John,Engineering,75000
352,Alice,HR,63500
353,Bob,Marketing,67500
354,Jane,Engineering,77000
355,Mike,HR,62500
356,Sara,Sales,65000
357,Tom,Finance,86000
358,Emma,Engineering,74000
359,David,Marketing,68500
360,Olivia,HR,62500
361,John,Finance,82500
362,Alice,Sales,63000
363,Bob,Engineering,75000
364,Jane,Marketing,68000
365,Mike,HR,63000
366,Sara,Engineering,75500
367,Tom,Finance,86500
368,Emma,Sales,63500
369,David,HR,63000
370,Olivia,Marketing,66000
371,John,Engineering,75500
372,Alice,HR,63500
373,Bob,Marketing,68500
374,Jane,Engineering,78000
375,Mike,HR,63500
376,Sara,Sales,65500
377,Tom,Finance,87000
378,Emma,Engineering,74500
379,David,Marketing,69000
380,Olivia,HR,63500
381,John,Finance,83000
382,Alice,Sales,64000
383,Bob,Engineering,76000
384,Jane,Marketing,68500
385,Mike,HR,64000
386,Sara,Engineering,76500
387,Tom,Finance,87500
388,Emma,Sales,64500
389,David,HR,64000
390,Olivia,Marketing,66500
391,John,Engineering,76500
392,Alice,HR,64500
393,Bob,Marketing,69000
394,Jane,Engineering,79000
395,Mike,HR,64500
396,Sara,Sales,67000
397,Tom,Finance,88000
398,Emma,Engineering,75000
399,David,Marketing,69500
400,Olivia,HR,65000
401,John,Engineering,77000
402,Alice,HR,65000
403,Bob,Marketing,69500
404,Jane,Engineering,79500
405,Mike,HR,65000
406,Sara,Sales,67500
407,Tom,Finance,88500
408,Emma,Engineering,75500
409,David,Marketing,70000
410,Olivia,HR,65500
411,John,Finance,83500
412,Alice,Sales,65500
413,Bob,Engineering,77000
414,Jane,Marketing,70500
415,Mike,HR,65500
416,Sara,Engineering,77000
417,Tom,Finance,89000
418,Emma,Sales,66000
419,David,HR,66000
420,Olivia,Marketing,67000
421,John,Engineering,77500
422,Alice,HR,65500
423,Bob,Marketing,71000
424,Jane,Engineering,80000
425,Mike,HR,66000
426,Sara,Sales,68000
427,Tom,Finance,89500
428,Emma,Engineering,76000
429,David,Marketing,70500
430,Olivia,HR,66500
431,John,Finance,84000
432,Alice,Sales,66000
433,Bob,Engineering,78000
434,Jane,Marketing,71000
435,Mike,HR,66500
436,Sara,Engineering,77500
437,Tom,Finance,90000
438,Emma,Sales,66500
439,David,HR,67000
440,Olivia,Marketing,67500
441,John,Engineering,78500
442,Alice,HR,66500
443,Bob,Marketing,71500
444,Jane,Engineering,80500
445,Mike,HR,67000
446,Sara,Sales,68500
447,Tom,Finance,90500
448,Emma,Engineering,76500
449,David,Marketing,71000
450,Olivia,HR,67000
451,John,Engineering,79000
452,Alice,HR,67000
453,Bob,Marketing,72000
454,Jane,Engineering,81000
455,Mike,HR,67500
456,Sara,Sales,69000
457,Tom,Finance,91000
458,Emma,Engineering,77000
459,David,Marketing,71500
460,Olivia,HR,67500
461,John,Finance,84500
462,Alice,Sales,67500
463,Bob,Engineering,79000
464,Jane,Marketing,72500
465,Mike,HR,68000
466,Sara,Engineering,78000
467,Tom,Finance,91500
468,Emma,Sales,68000
469,David,HR,68000
470,Olivia,Marketing,68000
471,John,Engineering,79500
472,Alice,HR,68000
473,Bob,Marketing,73000
474,Jane,Engineering,81500
475,Mike,HR,68500
476,Sara,Sales,69500
477,Tom,Finance,92000
478,Emma,Engineering,77500
479,David,Marketing,72000
480,Olivia,HR,68000
481,John,Finance,85000
482,Alice,Sales,68000
483,Bob,Engineering,79500
484,Jane,Marketing,73000
485,Mike,HR,69000
486,Sara,Engineering,78500
487,Tom,Finance,92500
488,Emma,Sales,68500
489,David,HR,68500
490,Olivia,Marketing,68500
491,John,Engineering,80000
492,Alice,HR,68500
493,Bob,Marketing,73500
494,Jane,Engineering,82000
495,Mike,HR,69500
496,Sara,Sales,70000
497,Tom,Finance,93000
498,Emma,Engineering,78000
499,David,Marketing,72500
500,Olivia,HR,69000

